event_index,attempt,node,status_code,elapsed_ms,leader,result,final
0,1,http://100.100.1.202:7000,200,73.636,lnx200nas,submit_ok,ok
1,1,http://100.100.1.203:7000,200,83.227,lnx200nas,submit_ok,ok
2,1,http://100.100.1.202:7000,200,28.878,lnx200nas,submit_ok,ok
3,1,http://100.100.1.200:7000,200,41.415,lnx200nas,submit_ok,ok
4,1,http://100.100.1.200:7000,200,39.685,lnx200nas,submit_ok,ok
5,1,http://100.100.1.202:7000,200,54.666,lnx200nas,submit_ok,ok
6,1,http://100.100.1.200:7000,200,23.489,lnx200nas,submit_ok,ok
7,1,http://100.100.1.202:7000,200,28.148,lnx200nas,submit_ok,ok
8,1,http://100.100.1.203:7000,200,50.339,lnx200nas,submit_ok,ok
9,1,http://100.100.1.200:7000,200,46.781,lnx200nas,submit_ok,ok
10,1,http://100.100.1.203:7000,200,39.797,lnx200nas,submit_ok,ok
11,1,http://100.100.1.203:7000,200,31.35,lnx200nas,submit_ok,ok
12,1,http://100.100.1.203:7000,200,68.863,lnx200nas,submit_ok,ok
13,1,http://100.100.1.203:7000,200,58.187,lnx200nas,submit_ok,ok
14,1,http://100.100.1.200:7000,200,49.118,lnx200nas,submit_ok,ok
15,1,http://100.100.1.200:7000,200,19.316,lnx200nas,submit_ok,ok
16,1,http://100.100.1.202:7000,200,35.574,lnx200nas,submit_ok,ok
17,1,http://100.100.1.200:7000,200,65.918,lnx200nas,submit_ok,ok
18,1,http://100.100.1.200:7000,200,55.278,lnx200nas,submit_ok,ok
19,1,http://100.100.1.203:7000,200,23.403,lnx200nas,submit_ok,ok
20,1,http://100.100.1.200:7000,200,14.012,lnx200nas,submit_ok,ok
21,1,http://100.100.1.203:7000,200,69.128,lnx200nas,submit_ok,ok
22,1,http://100.100.1.203:7000,200,95.298,lnx200nas,submit_ok,ok
23,1,http://100.100.1.203:7000,200,49.413,lnx200nas,submit_ok,ok
24,1,http://100.100.1.202:7000,200,107.086,lnx200nas,submit_ok,ok
25,1,http://100.100.1.202:7000,200,79.635,lnx200nas,submit_ok,ok
26,1,http://100.100.1.203:7000,200,51.857,lnx200nas,submit_ok,ok
27,1,http://100.100.1.203:7000,200,58.206,lnx200nas,submit_ok,ok
28,1,http://100.100.1.200:7000,200,44.31,lnx200nas,submit_ok,ok
29,1,http://100.100.1.203:7000,200,43.139,lnx200nas,submit_ok,ok
30,1,http://100.100.1.202:7000,200,57.617,lnx200nas,submit_ok,ok
31,1,http://100.100.1.202:7000,200,52.507,lnx200nas,submit_ok,ok
32,1,http://100.100.1.203:7000,200,52.226,lnx200nas,submit_ok,ok
33,1,http://100.100.1.202:7000,200,52.481,lnx200nas,submit_ok,ok
34,1,http://100.100.1.203:7000,200,45.83,lnx200nas,submit_ok,ok
35,1,http://100.100.1.203:7000,200,49.69,lnx200nas,submit_ok,ok
36,1,http://100.100.1.200:7000,200,44.3,lnx200nas,submit_ok,ok
37,1,http://100.100.1.203:7000,200,48.6,lnx200nas,submit_ok,ok
38,1,http://100.100.1.203:7000,200,79.948,lnx200nas,submit_ok,ok
39,1,http://100.100.1.202:7000,200,48.988,lnx200nas,submit_ok,ok
40,1,http://100.100.1.203:7000,200,56.941,lnx200nas,submit_ok,ok
41,1,http://100.100.1.203:7000,200,65.55,lnx200nas,submit_ok,ok
42,1,http://100.100.1.202:7000,200,46.72,lnx200nas,submit_ok,ok
43,1,http://100.100.1.203:7000,200,59.51,lnx200nas,submit_ok,ok
44,1,http://100.100.1.203:7000,200,34.076,lnx200nas,submit_ok,ok
45,1,http://100.100.1.203:7000,200,57.754,lnx200nas,submit_ok,ok
46,1,http://100.100.1.203:7000,200,63.783,lnx200nas,submit_ok,ok
47,1,http://100.100.1.200:7000,200,50.457,lnx200nas,submit_ok,ok
48,1,http://100.100.1.203:7000,200,95.654,lnx200nas,submit_ok,ok
49,1,http://100.100.1.203:7000,200,86.27,lnx200nas,submit_ok,ok
50,1,http://100.100.1.203:7000,200,61.748,lnx200nas,submit_ok,ok
51,1,http://100.100.1.203:7000,200,66.8,lnx200nas,submit_ok,ok
52,1,http://100.100.1.202:7000,200,46.438,lnx200nas,submit_ok,ok
53,1,http://100.100.1.203:7000,200,72.277,lnx200nas,submit_ok,ok
54,1,http://100.100.1.203:7000,200,53.917,lnx200nas,submit_ok,ok
55,1,http://100.100.1.202:7000,200,19.615,,hard_fail,hard_fail
56,1,http://100.100.1.203:7000,200,16.784,,hard_fail,hard_fail
57,1,http://100.100.1.202:7000,200,15.604,lnx202pc,submit_ok,ok
58,1,http://100.100.1.202:7000,200,18.202,lnx202pc,submit_ok,ok
59,1,http://100.100.1.200:7000,200,7.826,,hard_fail,hard_fail
60,1,http://100.100.1.202:7000,200,17.661,lnx202pc,submit_ok,ok
61,1,http://100.100.1.200:7000,200,9.118,,hard_fail,hard_fail
62,1,http://100.100.1.200:7000,200,11.059,,hard_fail,hard_fail
63,1,http://100.100.1.203:7000,200,37.792,lnx202pc,submit_ok,ok
64,1,http://100.100.1.202:7000,200,18.336,lnx202pc,submit_ok,ok
65,1,http://100.100.1.200:7000,200,9.7,,hard_fail,hard_fail
66,1,http://100.100.1.202:7000,200,16.394,lnx202pc,submit_ok,ok
67,1,http://100.100.1.203:7000,200,31.152,lnx202pc,submit_ok,ok
68,1,http://100.100.1.200:7000,200,8.578,,hard_fail,hard_fail
69,1,http://100.100.1.202:7000,200,18.165,lnx202pc,submit_ok,ok
