event_index,attempt,node,status_code,elapsed_ms,leader,result,final
1,1,http://100.100.1.202:7000,200,64.646,lnx200nas,submit_ok,ok
0,1,http://100.100.1.202:7000,200,97.102,lnx200nas,submit_ok,ok
2,1,http://100.100.1.203:7000,200,86.655,lnx200nas,submit_ok,ok
3,1,http://100.100.1.202:7000,200,68.362,lnx200nas,submit_ok,ok
4,1,http://100.100.1.203:7000,200,49.739,lnx200nas,submit_ok,ok
5,1,http://100.100.1.202:7000,200,53.879,lnx200nas,submit_ok,ok
6,1,http://100.100.1.200:7000,200,38.99,lnx200nas,submit_ok,ok
7,1,http://100.100.1.203:7000,200,34.798,lnx200nas,submit_ok,ok
9,1,http://100.100.1.200:7000,200,32.679,lnx200nas,submit_ok,ok
10,1,http://100.100.1.203:7000,200,35.578,lnx200nas,submit_ok,ok
8,1,http://100.100.1.202:7000,200,89.636,lnx200nas,submit_ok,ok
11,1,http://100.100.1.203:7000,200,46.763,lnx200nas,submit_ok,ok
12,1,http://100.100.1.203:7000,200,68.771,lnx200nas,submit_ok,ok
13,1,http://100.100.1.200:7000,200,39.332,lnx200nas,submit_ok,ok
14,1,http://100.100.1.202:7000,200,37.455,lnx200nas,submit_ok,ok
15,1,http://100.100.1.200:7000,200,40.897,lnx200nas,submit_ok,ok
16,1,http://100.100.1.202:7000,200,40.372,lnx200nas,submit_ok,ok
17,1,http://100.100.1.200:7000,200,36.503,lnx200nas,submit_ok,ok
18,1,http://100.100.1.203:7000,200,38.671,lnx200nas,submit_ok,ok
19,1,http://100.100.1.202:7000,200,47.742,lnx200nas,submit_ok,ok
