event_index,attempt,node,status_code,elapsed_ms,leader,result,final
0,1,http://100.100.1.203:7000,200,22.372,lnx200nas,submit_ok,ok
1,1,http://100.100.1.200:7000,200,10.796,lnx200nas,submit_ok,ok
2,1,http://100.100.1.203:7000,200,22.11,lnx200nas,submit_ok,ok
3,1,http://100.100.1.202:7000,200,115.639,lnx200nas,submit_ok,ok
4,1,http://100.100.1.203:7000,200,25.265,lnx200nas,submit_ok,ok
5,1,http://100.100.1.200:7000,200,61.517,lnx200nas,submit_ok,ok
6,1,http://100.100.1.202:7000,200,18.472,lnx200nas,submit_ok,ok
7,1,http://100.100.1.202:7000,200,14.979,lnx200nas,submit_ok,ok
8,1,http://100.100.1.200:7000,200,9.706,lnx200nas,submit_ok,ok
9,1,http://100.100.1.202:7000,200,15.184,lnx200nas,submit_ok,ok
10,1,http://100.100.1.202:7000,200,22.291,lnx200nas,submit_ok,ok
11,1,http://100.100.1.200:7000,200,8.305,lnx200nas,submit_ok,ok
12,1,http://100.100.1.203:7000,200,16.855,lnx200nas,submit_ok,ok
13,1,http://100.100.1.202:7000,200,105.742,lnx200nas,submit_ok,ok
14,1,http://100.100.1.203:7000,200,61.155,lnx200nas,submit_ok,ok
15,1,http://100.100.1.200:7000,200,64.526,lnx200nas,submit_ok,ok
16,1,http://100.100.1.202:7000,200,60.369,lnx200nas,submit_ok,ok
17,1,http://100.100.1.202:7000,200,67.001,lnx200nas,submit_ok,ok
18,1,http://100.100.1.203:7000,200,60.453,lnx200nas,submit_ok,ok
19,1,http://100.100.1.203:7000,200,94.117,lnx200nas,submit_ok,ok
20,1,http://100.100.1.200:7000,200,46.3,lnx200nas,submit_ok,ok
21,1,http://100.100.1.202:7000,200,80.439,lnx200nas,submit_ok,ok
22,1,http://100.100.1.202:7000,200,47.316,lnx200nas,submit_ok,ok
23,1,http://100.100.1.203:7000,200,48.929,lnx202pc,submit_ok,ok
24,1,http://100.100.1.200:7000,200,20.66,lnx202pc,submit_ok,ok
25,1,http://100.100.1.200:7000,200,21.303,lnx202pc,submit_ok,ok
26,1,http://100.100.1.203:7000,200,11.211,lnx202pc,submit_ok,ok
27,1,http://100.100.1.200:7000,200,21.645,lnx202pc,submit_ok,ok
28,1,http://100.100.1.203:7000,200,23.953,lnx202pc,submit_ok,ok
29,1,http://100.100.1.203:7000,200,11.557,lnx202pc,submit_ok,ok
30,1,http://100.100.1.202:7000,200,88.718,lnx200nas,submit_ok,ok
31,1,http://100.100.1.203:7000,200,60.848,lnx200nas,submit_ok,ok
32,1,http://100.100.1.200:7000,200,57.158,lnx200nas,submit_ok,ok
33,1,http://100.100.1.202:7000,200,18.006,lnx200nas,submit_ok,ok
34,1,http://100.100.1.200:7000,200,45.533,lnx200nas,submit_ok,ok
35,1,http://100.100.1.200:7000,200,70.635,lnx200nas,submit_ok,ok
36,1,http://100.100.1.203:7000,200,100.981,lnx200nas,submit_ok,ok
37,1,http://100.100.1.200:7000,200,113.352,lnx200nas,submit_ok,ok
38,1,http://100.100.1.203:7000,200,86.81,lnx200nas,submit_ok,ok
39,1,http://100.100.1.203:7000,200,31.678,lnx200nas,submit_ok,ok
40,1,http://100.100.1.200:7000,200,19.572,lnx202pc,submit_ok,ok
41,1,http://100.100.1.203:7000,200,10.409,lnx202pc,submit_ok,ok
42,1,http://100.100.1.200:7000,200,43.54,lnx202pc,submit_ok,ok
43,1,http://100.100.1.203:7000,200,18.523,lnx202pc,submit_ok,ok
44,1,http://100.100.1.200:7000,200,27.426,lnx202pc,submit_ok,ok
45,1,http://100.100.1.203:7000,200,12.276,lnx202pc,submit_ok,ok
46,1,http://100.100.1.200:7000,200,27.665,lnx202pc,submit_ok,ok
47,1,http://100.100.1.200:7000,200,38.473,lnx200nas,submit_ok,ok
48,1,http://100.100.1.200:7000,200,30.882,lnx200nas,submit_ok,ok
49,1,http://100.100.1.202:7000,200,85.473,lnx200nas,submit_ok,ok
50,1,http://100.100.1.203:7000,200,46.53,lnx200nas,submit_ok,ok
51,1,http://100.100.1.200:7000,200,87.835,lnx200nas,submit_ok,ok
52,1,http://100.100.1.203:7000,200,142.732,lnx200nas,submit_ok,ok
53,1,http://100.100.1.202:7000,200,158.36,lnx200nas,submit_ok,ok
54,1,http://100.100.1.200:7000,200,52.831,lnx200nas,submit_ok,ok
55,1,http://100.100.1.200:7000,200,60.569,lnx200nas,submit_ok,ok
56,1,http://100.100.1.203:7000,200,25.895,lnx200nas,submit_ok,ok
57,1,http://100.100.1.200:7000,200,27.457,lnx203hp,submit_ok,ok
58,1,http://100.100.1.203:7000,200,6.783,lnx203hp,submit_ok,ok
59,1,http://100.100.1.203:7000,200,6.821,lnx203hp,submit_ok,ok
60,1,http://100.100.1.200:7000,200,43.402,lnx203hp,submit_ok,ok
61,1,http://100.100.1.203:7000,200,6.393,lnx203hp,submit_ok,ok
62,1,http://100.100.1.202:7000,200,16.003,lnx203hp,submit_ok,ok
63,1,http://100.100.1.202:7000,200,87.64,lnx200nas,submit_ok,ok
64,1,http://100.100.1.203:7000,200,42.574,lnx200nas,submit_ok,ok
65,1,http://100.100.1.200:7000,200,51.323,lnx200nas,submit_ok,ok
66,1,http://100.100.1.202:7000,200,95.006,lnx200nas,submit_ok,ok
67,1,http://100.100.1.202:7000,200,50.568,lnx200nas,submit_ok,ok
68,1,http://100.100.1.203:7000,200,75.636,lnx200nas,submit_ok,ok
69,1,http://100.100.1.203:7000,200,83.176,lnx200nas,submit_ok,ok
70,1,http://100.100.1.200:7000,200,85.666,lnx200nas,submit_ok,ok
71,1,http://100.100.1.202:7000,200,33.985,lnx200nas,submit_ok,ok
72,1,http://100.100.1.200:7000,200,8.712,lnx200nas,submit_ok,ok
73,1,http://100.100.1.200:7000,200,27.228,lnx202pc,submit_ok,ok
74,1,http://100.100.1.202:7000,200,13.281,lnx202pc,submit_ok,ok
75,1,http://100.100.1.203:7000,200,35.135,lnx202pc,submit_ok,ok
76,1,http://100.100.1.203:7000,200,12.202,lnx202pc,submit_ok,ok
77,1,http://100.100.1.200:7000,200,28.652,lnx202pc,submit_ok,ok
78,1,http://100.100.1.203:7000,200,94.258,lnx200nas,submit_ok,ok
79,1,http://100.100.1.200:7000,200,78.381,lnx200nas,submit_ok,ok
