event_index,attempt,node,status_code,elapsed_ms,leader,result,final
0,1,http://100.100.1.203:7000,200,17.119,lnx203hp,submit_ok,ok
1,1,http://100.100.1.200:7000,200,71.514,lnx200nas,submit_ok,ok
2,1,http://100.100.1.203:7000,200,11.322,lnx203hp,submit_ok,ok
3,1,http://100.100.1.202:7000,200,16.801,lnx202pc,submit_ok,ok
4,1,http://100.100.1.200:7000,200,47.455,lnx200nas,submit_ok,ok
5,1,http://100.100.1.203:7000,200,13.329,lnx203hp,submit_ok,ok
6,1,http://100.100.1.202:7000,200,13.532,lnx202pc,submit_ok,ok
7,1,http://100.100.1.200:7000,200,53.534,lnx200nas,submit_ok,ok
8,1,http://100.100.1.203:7000,200,64.156,lnx203hp,submit_ok,ok
9,1,http://100.100.1.202:7000,200,15.772,lnx202pc,submit_ok,ok
10,1,http://100.100.1.202:7000,200,41.698,lnx202pc,submit_ok,ok
11,1,http://100.100.1.202:7000,200,25.728,lnx202pc,submit_ok,ok
12,1,http://100.100.1.200:7000,200,67.163,lnx200nas,submit_ok,ok
13,1,http://100.100.1.202:7000,200,13.535,lnx202pc,submit_ok,ok
14,1,http://100.100.1.202:7000,200,15.798,lnx202pc,submit_ok,ok
15,1,http://100.100.1.202:7000,200,14.737,lnx202pc,submit_ok,ok
16,1,http://100.100.1.203:7000,200,18.108,lnx203hp,submit_ok,ok
17,1,http://100.100.1.203:7000,200,22.481,lnx203hp,submit_ok,ok
18,1,http://100.100.1.203:7000,200,14.938,lnx203hp,submit_ok,ok
19,1,http://100.100.1.202:7000,200,15.48,lnx202pc,submit_ok,ok
20,1,http://100.100.1.200:7000,200,35.972,lnx200nas,submit_ok,ok
21,1,http://100.100.1.202:7000,200,58.414,lnx202pc,submit_ok,ok
22,1,http://100.100.1.200:7000,200,57.561,lnx200nas,submit_ok,ok
23,1,http://100.100.1.200:7000,200,80.159,lnx200nas,submit_ok,ok
24,1,http://100.100.1.203:7000,200,17.8,lnx203hp,submit_ok,ok
25,1,http://100.100.1.202:7000,200,19.553,lnx202pc,submit_ok,ok
26,1,http://100.100.1.202:7000,200,18.4,lnx202pc,submit_ok,ok
27,1,http://100.100.1.200:7000,200,34.236,lnx200nas,submit_ok,ok
28,1,http://100.100.1.200:7000,200,28.455,lnx200nas,submit_ok,ok
29,1,http://100.100.1.202:7000,200,41.931,lnx202pc,submit_ok,ok
30,1,http://100.100.1.203:7000,200,18.718,lnx203hp,submit_ok,ok
31,1,http://100.100.1.200:7000,200,33.54,lnx200nas,submit_ok,ok
32,1,http://100.100.1.200:7000,200,41.828,lnx200nas,submit_ok,ok
33,1,http://100.100.1.203:7000,200,31.818,lnx203hp,submit_ok,ok
34,1,http://100.100.1.203:7000,200,23.854,lnx203hp,submit_ok,ok
35,1,http://100.100.1.200:7000,200,74.237,lnx200nas,submit_ok,ok
36,1,http://100.100.1.200:7000,200,50.723,lnx200nas,submit_ok,ok
37,1,http://100.100.1.200:7000,200,48.814,lnx200nas,submit_ok,ok
38,1,http://100.100.1.202:7000,200,25.522,lnx202pc,submit_ok,ok
39,1,http://100.100.1.200:7000,200,37.076,lnx200nas,submit_ok,ok
40,1,http://100.100.1.203:7000,200,14.637,lnx203hp,submit_ok,ok
41,1,http://100.100.1.200:7000,200,90.722,lnx200nas,submit_ok,ok
42,1,http://100.100.1.202:7000,200,18.274,lnx202pc,submit_ok,ok
43,1,http://100.100.1.202:7000,200,15.477,lnx202pc,submit_ok,ok
44,1,http://100.100.1.202:7000,200,20.241,lnx202pc,submit_ok,ok
45,1,http://100.100.1.200:7000,200,81.537,lnx200nas,submit_ok,ok
46,1,http://100.100.1.200:7000,200,43.633,lnx200nas,submit_ok,ok
47,1,http://100.100.1.200:7000,200,49.053,lnx200nas,submit_ok,ok
48,1,http://100.100.1.203:7000,200,13.684,lnx203hp,submit_ok,ok
49,1,http://100.100.1.202:7000,200,22.807,lnx202pc,submit_ok,ok
50,1,http://100.100.1.202:7000,200,17.6,lnx202pc,submit_ok,ok
51,1,http://100.100.1.203:7000,200,25.447,lnx203hp,submit_ok,ok
52,1,http://100.100.1.200:7000,200,93.822,lnx200nas,submit_ok,ok
53,1,http://100.100.1.200:7000,200,48.442,lnx200nas,submit_ok,ok
54,1,http://100.100.1.203:7000,200,20.612,lnx203hp,submit_ok,ok
56,1,http://100.100.1.200:7000,200,52.921,lnx200nas,submit_ok,ok
55,1,http://100.100.1.203:7000,200,292.965,lnx203hp,submit_ok,ok
57,1,http://100.100.1.200:7000,200,64.337,lnx200nas,submit_ok,ok
58,1,http://100.100.1.203:7000,200,11.181,lnx203hp,submit_ok,ok
59,1,http://100.100.1.202:7000,200,14.287,lnx202pc,submit_ok,ok
