event_index,attempt,node,status_code,elapsed_ms,leader,result,final
0,1,http://100.100.1.203:7000,200,163.858,lnx200nas,submit_ok,ok
1,1,http://100.100.1.200:7000,200,39.513,lnx200nas,submit_ok,ok
2,1,http://100.100.1.200:7000,200,117.166,lnx200nas,submit_ok,ok
3,1,http://100.100.1.202:7000,200,97.193,lnx200nas,submit_ok,ok
4,1,http://100.100.1.202:7000,200,100.497,lnx200nas,submit_ok,ok
5,1,http://100.100.1.200:7000,200,24.751,lnx200nas,submit_ok,ok
6,1,http://100.100.1.202:7000,200,38.43,lnx200nas,submit_ok,ok
7,1,http://100.100.1.202:7000,200,52.294,lnx200nas,submit_ok,ok
8,1,http://100.100.1.200:7000,200,15.981,lnx200nas,submit_ok,ok
9,1,http://100.100.1.202:7000,200,61.462,lnx200nas,submit_ok,ok
10,1,http://100.100.1.200:7000,200,67.543,lnx200nas,submit_ok,ok
11,1,http://100.100.1.200:7000,200,20.795,lnx200nas,submit_ok,ok
12,1,http://100.100.1.200:7000,200,61.109,lnx200nas,submit_ok,ok
13,1,http://100.100.1.200:7000,200,29.752,lnx200nas,submit_ok,ok
14,1,http://100.100.1.202:7000,200,71.435,lnx200nas,submit_ok,ok
15,1,http://100.100.1.200:7000,200,44.743,lnx200nas,submit_ok,ok
16,1,http://100.100.1.203:7000,200,229.968,lnx202pc,submit_ok,ok
17,1,http://100.100.1.200:7000,200,41.942,lnx200nas,submit_ok,ok
18,1,http://100.100.1.202:7000,200,21.655,lnx202pc,submit_ok,ok
19,1,http://100.100.1.200:7000,200,36.468,lnx200nas,submit_ok,ok
20,1,http://100.100.1.200:7000,200,99.373,lnx200nas,submit_ok,ok
21,1,http://100.100.1.200:7000,200,90.065,lnx200nas,submit_ok,ok
22,1,http://100.100.1.203:7000,200,214.059,lnx200nas,submit_ok,ok
23,1,http://100.100.1.202:7000,200,67.361,lnx200nas,submit_ok,ok
24,1,http://100.100.1.202:7000,200,56.396,lnx200nas,submit_ok,ok
25,1,http://100.100.1.203:7000,200,100.622,lnx200nas,submit_ok,ok
26,1,http://100.100.1.203:7000,200,141.15,lnx200nas,submit_ok,ok
27,1,http://100.100.1.200:7000,200,69.385,lnx200nas,submit_ok,ok
28,1,http://100.100.1.203:7000,200,90.028,lnx202pc,submit_ok,ok
29,1,http://100.100.1.202:7000,200,58.93,lnx202pc,submit_ok,ok
30,1,http://100.100.1.203:7000,200,45.913,lnx202pc,submit_ok,ok
31,1,http://100.100.1.200:7000,200,56.56,lnx200nas,submit_ok,ok
32,1,http://100.100.1.203:7000,200,51.78,lnx202pc,submit_ok,ok
33,1,http://100.100.1.203:7000,200,207.389,lnx200nas,submit_ok,ok
34,1,http://100.100.1.202:7000,200,64.145,lnx200nas,submit_ok,ok
35,1,http://100.100.1.202:7000,200,79.553,lnx200nas,submit_ok,ok
36,1,http://100.100.1.200:7000,200,129.849,lnx200nas,submit_ok,ok
37,1,http://100.100.1.202:7000,200,138.346,lnx200nas,submit_ok,ok
39,1,http://100.100.1.202:7000,200,82.052,lnx200nas,submit_ok,ok
38,1,http://100.100.1.203:7000,200,300.854,lnx200nas,submit_ok,ok
40,1,http://100.100.1.200:7000,200,51.365,lnx200nas,submit_ok,ok
41,1,http://100.100.1.202:7000,200,66.774,lnx200nas,submit_ok,ok
42,1,http://100.100.1.202:7000,200,15.665,lnx202pc,submit_ok,ok
43,1,http://100.100.1.203:7000,200,21.875,lnx202pc,submit_ok,ok
44,1,http://100.100.1.203:7000,200,63.39,lnx202pc,submit_ok,ok
45,1,http://100.100.1.200:7000,200,53.132,lnx200nas,submit_ok,ok
46,1,http://100.100.1.200:7000,200,46.229,lnx200nas,submit_ok,ok
47,1,http://100.100.1.202:7000,200,24.581,lnx202pc,submit_ok,ok
48,1,http://100.100.1.202:7000,200,31.959,lnx202pc,submit_ok,ok
49,1,http://100.100.1.202:7000,200,16.235,lnx202pc,submit_ok,ok
50,1,http://100.100.1.200:7000,200,63.976,lnx200nas,submit_ok,ok
51,1,http://100.100.1.202:7000,200,17.757,lnx202pc,submit_ok,ok
52,1,http://100.100.1.202:7000,200,101.808,lnx200nas,submit_ok,ok
53,1,http://100.100.1.202:7000,200,91.865,lnx200nas,submit_ok,ok
54,1,http://100.100.1.203:7000,200,175.611,lnx200nas,submit_ok,ok
55,1,http://100.100.1.202:7000,200,93.249,lnx200nas,submit_ok,ok
56,1,http://100.100.1.203:7000,200,88.571,lnx200nas,submit_ok,ok
57,1,http://100.100.1.202:7000,200,57.677,lnx200nas,submit_ok,ok
58,1,http://100.100.1.202:7000,200,35.03,lnx202pc,submit_ok,ok
59,1,http://100.100.1.200:7000,200,30.93,lnx200nas,submit_ok,ok
60,1,http://100.100.1.200:7000,200,79.775,lnx200nas,submit_ok,ok
61,1,http://100.100.1.200:7000,200,51.783,lnx200nas,submit_ok,ok
62,1,http://100.100.1.203:7000,200,94.429,lnx202pc,submit_ok,ok
63,1,http://100.100.1.203:7000,200,90.506,lnx202pc,submit_ok,ok
65,1,http://100.100.1.202:7000,200,25.604,lnx202pc,submit_ok,ok
64,1,http://100.100.1.203:7000,200,181.74,lnx200nas,submit_ok,ok
66,1,http://100.100.1.203:7000,200,35.941,,retryable_error,retry
67,1,http://100.100.1.203:7000,200,81.454,,retryable_error,retry
69,1,http://100.100.1.203:7000,200,54.692,,retryable_error,retry
71,1,http://100.100.1.203:7000,200,31.563,,retryable_error,retry
