event_index,attempt,node,status_code,elapsed_ms,leader,result,final
0,1,http://100.100.1.200:7000,200,13.198,lnx200nas,submit_ok,ok
1,1,http://100.100.1.203:7000,200,33.097,lnx200nas,submit_ok,ok
2,1,http://100.100.1.203:7000,200,25.753,lnx200nas,submit_ok,ok
3,1,http://100.100.1.200:7000,200,91.329,lnx200nas,submit_ok,ok
4,1,http://100.100.1.202:7000,200,96.833,lnx200nas,submit_ok,ok
5,1,http://100.100.1.203:7000,200,148.736,lnx200nas,submit_ok,ok
6,1,http://100.100.1.203:7000,200,17.008,lnx200nas,submit_ok,ok
7,1,http://100.100.1.203:7000,200,13.363,lnx200nas,submit_ok,ok
8,1,http://100.100.1.203:7000,200,11.873,lnx200nas,submit_ok,ok
9,1,http://100.100.1.200:7000,200,8.0,lnx200nas,submit_ok,ok
10,1,http://100.100.1.203:7000,200,23.841,lnx200nas,submit_ok,ok
11,1,http://100.100.1.203:7000,200,11.808,lnx200nas,submit_ok,ok
12,1,http://100.100.1.203:7000,200,45.174,lnx200nas,submit_ok,ok
13,1,http://100.100.1.200:7000,200,51.238,lnx200nas,submit_ok,ok
14,1,http://100.100.1.200:7000,200,73.439,lnx200nas,submit_ok,ok
15,1,http://100.100.1.202:7000,200,106.746,lnx200nas,submit_ok,ok
16,1,http://100.100.1.202:7000,200,94.71,lnx200nas,submit_ok,ok
17,1,http://100.100.1.203:7000,200,49.694,lnx200nas,submit_ok,ok
18,1,http://100.100.1.203:7000,200,108.158,lnx200nas,submit_ok,ok
19,1,http://100.100.1.200:7000,200,9.472,lnx200nas,submit_ok,ok
20,1,http://100.100.1.203:7000,200,121.166,lnx200nas,submit_ok,ok
21,1,http://100.100.1.200:7000,200,75.068,lnx200nas,submit_ok,ok
22,1,http://100.100.1.200:7000,200,2018.778,,retryable_error,retry
24,1,http://100.100.1.202:7000,200,120.213,lnx202pc,submit_ok,ok
23,1,http://100.100.1.200:7000,200,1970.16,lnx202pc,submit_ok,ok
25,1,http://100.100.1.200:7000,200,18.541,lnx200nas,submit_ok,ok
27,1,http://100.100.1.202:7000,200,16.49,lnx202pc,submit_ok,ok
26,1,http://100.100.1.200:7000,200,136.409,lnx200nas,submit_ok,ok
28,1,http://100.100.1.203:7000,200,123.44,lnx200nas,submit_ok,ok
30,1,http://100.100.1.203:7000,200,198.718,lnx200nas,submit_ok,ok
29,1,http://100.100.1.203:7000,200,207.305,lnx200nas,submit_ok,ok
32,1,http://100.100.1.202:7000,200,17.617,lnx202pc,submit_ok,ok
31,1,http://100.100.1.203:7000,200,162.663,lnx202pc,submit_ok,ok
34,1,http://100.100.1.202:7000,200,20.538,lnx202pc,submit_ok,ok
33,1,http://100.100.1.203:7000,200,215.399,lnx202pc,submit_ok,ok
36,1,http://100.100.1.202:7000,200,31.264,lnx202pc,submit_ok,ok
35,1,http://100.100.1.203:7000,200,139.949,lnx202pc,submit_ok,ok
38,1,http://100.100.1.202:7000,200,22.371,lnx202pc,submit_ok,ok
37,1,http://100.100.1.203:7000,200,196.109,lnx202pc,submit_ok,ok
39,1,http://100.100.1.200:7000,200,130.562,lnx202pc,submit_ok,ok
40,1,http://100.100.1.200:7000,200,97.628,lnx202pc,submit_ok,ok
41,1,http://100.100.1.202:7000,200,20.473,lnx202pc,submit_ok,ok
42,1,http://100.100.1.202:7000,200,20.75,lnx202pc,submit_ok,ok
22,2,http://100.100.1.203:7000,200,160.328,lnx202pc,submit_ok,ok
43,1,http://100.100.1.203:7000,200,220.775,lnx202pc,submit_ok,ok
44,1,http://100.100.1.200:7000,200,2058.312,,retryable_error,retry
46,1,http://100.100.1.202:7000,200,69.949,lnx202pc,submit_ok,ok
45,1,http://100.100.1.202:7000,200,2015.054,,retryable_error,retry
48,1,http://100.100.1.203:7000,200,236.468,lnx200nas,submit_ok,ok
47,1,http://100.100.1.203:7000,200,268.307,lnx200nas,submit_ok,ok
50,1,http://100.100.1.200:7000,200,133.785,lnx200nas,submit_ok,ok
49,1,http://100.100.1.203:7000,200,191.122,lnx200nas,submit_ok,ok
52,1,http://100.100.1.202:7000,200,2011.001,,retryable_error,retry
51,1,http://100.100.1.203:7000,200,2068.715,,retryable_error,retry
54,1,http://100.100.1.200:7000,200,37.354,lnx200nas,submit_ok,ok
53,1,http://100.100.1.202:7000,200,55.847,lnx202pc,submit_ok,ok
55,1,http://100.100.1.202:7000,200,40.363,lnx202pc,submit_ok,ok
56,1,http://100.100.1.203:7000,200,30.783,lnx203hp,submit_ok,ok
57,1,http://100.100.1.203:7000,200,25.926,lnx203hp,submit_ok,ok
58,1,http://100.100.1.203:7000,200,33.417,lnx203hp,submit_ok,ok
60,1,http://100.100.1.202:7000,200,18.678,lnx202pc,submit_ok,ok
59,1,http://100.100.1.203:7000,200,43.618,lnx203hp,submit_ok,ok
44,2,http://100.100.1.203:7000,200,20.255,lnx203hp,submit_ok,ok
61,1,http://100.100.1.200:7000,200,44.502,lnx200nas,submit_ok,ok
62,1,http://100.100.1.202:7000,200,59.232,lnx202pc,submit_ok,ok
45,2,http://100.100.1.203:7000,200,83.995,lnx203hp,submit_ok,ok
63,1,http://100.100.1.202:7000,200,69.865,lnx202pc,submit_ok,ok
65,1,http://100.100.1.203:7000,200,26.663,lnx203hp,submit_ok,ok
64,1,http://100.100.1.202:7000,200,90.436,lnx202pc,submit_ok,ok
66,1,http://100.100.1.203:7000,200,30.822,lnx203hp,submit_ok,ok
68,1,http://100.100.1.203:7000,200,20.874,lnx203hp,submit_ok,ok
69,1,http://100.100.1.202:7000,200,21.378,lnx202pc,submit_ok,ok
70,1,http://100.100.1.203:7000,200,29.205,lnx203hp,submit_ok,ok
67,1,http://100.100.1.200:7000,200,134.737,lnx200nas,submit_ok,ok
72,1,http://100.100.1.202:7000,200,22.134,lnx202pc,submit_ok,ok
73,1,http://100.100.1.202:7000,200,54.828,lnx202pc,submit_ok,ok
71,1,http://100.100.1.203:7000,200,172.371,lnx203hp,submit_ok,ok
74,1,http://100.100.1.200:7000,200,168.697,lnx200nas,submit_ok,ok
75,1,http://100.100.1.200:7000,200,168.113,lnx200nas,submit_ok,ok
76,1,http://100.100.1.203:7000,200,87.431,lnx203hp,submit_ok,ok
77,1,http://100.100.1.203:7000,200,81.748,lnx203hp,submit_ok,ok
52,2,http://100.100.1.200:7000,200,96.843,lnx200nas,submit_ok,ok
51,2,http://100.100.1.200:7000,200,46.45,lnx200nas,submit_ok,ok
78,1,http://100.100.1.202:7000,200,22.796,lnx202pc,submit_ok,ok
79,1,http://100.100.1.203:7000,200,113.084,lnx203hp,submit_ok,ok
